OTU,G45057,G45068,G45071,G45075,G45092,G45099,G45108,G45117,G45123,G45226,G45227,G45250,Kingdom,Phylum,Class,Order,Family,Genus,Species
28116,1606520,465847,587567,299384,822273,121504,196988,112153,2732,321695,261997,142927,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, ovatus
817,509269,79260,101039,143613,161217,102181,81411,169928,45337,210007,73243,241300,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, fragilis
2763022,135008,41473,45309,50598,60489,21401,23091,23609,366,26237,18198,15950,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, sp. M10
2650158,83916,24424,31916,21975,44246,7260,9802,21053,1590,16460,39572,37874,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, sp. HF-5141
2715212,23606,9214,17204,12946,13183,2303,5837,18832,3183,6990,8574,72934,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, sp. CBA7301
2650157,19476,8761,22549,22159,12105,4644,6518,796759,2064,10550,22866,14745,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, sp. HF-5287
2785531,11047,84700,29481,104666,8198,79743,36885,334891,181110,32539,57220,125546,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, sp. HF-162
2755405,8061,84619,25716,84839,15237,41102,32030,220187,160465,21725,35273,79472,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, sp. CACC 737
2528203,4843,82425,22662,95454,6714,69560,42734,239245,196263,34001,45256,99281,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, sp. A1C1
2162637,81234,45340,144114,202285,483446,18414,39754,19275,81907,68979,81806,56858,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, sp. PHL 2737
246787,137059,4533,2374,12040,1984,295853,264348,8755,2735,5035,1860,2546,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, cellulosilyticus
371601,172348,89517,150639,59852,174495,13863,19882,50534,3628,77101,204701,251076,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, xylanisolvens
818,36318,85017,190634,195978,102000,3337,77907,24883,3723,136525,80875,35499,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, thetaiotaomicron
1796613,26841,19636,24956,21837,31885,2957,10844,17114,9464,12020,30767,29073,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, caecimuris
47678,22678,234953,103159,12544,160950,1158,14938,5453,1690,141096,208040,7910,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, caccae
329854,10367,8837,2814,8328,1513,22555,20455,29511,16826,13544,1663,2863,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, intestinalis
820,8436,481317,154324,455374,64140,375788,227858,1358037,1378735,174478,413344,685781,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, uniformis
290053,1124,8092,1937,6718,1646,2677,2691,6905,7435,4380,1009,1987,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, helcogenes
28113,492,4480,2686,4403,761,1651,1485,4452,4170,2521,879,1770,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, heparinolyticus
151276,204,206,124,768,2413,82,280,126,95,298,72,89,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, coprosuis
28119,181,3617,526,3890,290,1128,1203,3589,4359,1624,631,2593,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, zoogleoformans
357276,1128606,667629,898531,133792,216626,421852,1244124,229582,48664,861794,921706,78287,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Phocaeicola, dorei
