"","G45068","G45227","G45123","G45117","G45099","G45071","G45226","G45250","G45108","G45057","G45075","G45092"
"28116",465847,261997,2732,112153,121504,587567,321695,142927,196988,1606520,299384,822273
"817",79260,73243,45337,169928,102181,101039,210007,241300,81411,509269,143613,161217
"2763022",41473,18198,366,23609,21401,45309,26237,15950,23091,135008,50598,60489
"2650158",24424,39572,1590,21053,7260,31916,16460,37874,9802,83916,21975,44246
"2715212",9214,8574,3183,18832,2303,17204,6990,72934,5837,23606,12946,13183
"2650157",8761,22866,2064,796759,4644,22549,10550,14745,6518,19476,22159,12105
"2785531",84700,57220,181110,334891,79743,29481,32539,125546,36885,11047,104666,8198
"2755405",84619,35273,160465,220187,41102,25716,21725,79472,32030,8061,84839,15237
"2528203",82425,45256,196263,239245,69560,22662,34001,99281,42734,4843,95454,6714
"2162637",45340,81806,81907,19275,18414,144114,68979,56858,39754,81234,202285,483446
"246787",4533,1860,2735,8755,295853,2374,5035,2546,264348,137059,12040,1984
"371601",89517,204701,3628,50534,13863,150639,77101,251076,19882,172348,59852,174495
"818",85017,80875,3723,24883,3337,190634,136525,35499,77907,36318,195978,102000
"1796613",19636,30767,9464,17114,2957,24956,12020,29073,10844,26841,21837,31885
"47678",234953,208040,1690,5453,1158,103159,141096,7910,14938,22678,12544,160950
"329854",8837,1663,16826,29511,22555,2814,13544,2863,20455,10367,8328,1513
"820",481317,413344,1378735,1358037,375788,154324,174478,685781,227858,8436,455374,64140
"290053",8092,1009,7435,6905,2677,1937,4380,1987,2691,1124,6718,1646
"28113",4480,879,4170,4452,1651,2686,2521,1770,1485,492,4403,761
"151276",206,72,95,126,82,124,298,89,280,204,768,2413
"28119",3617,631,4359,3589,1128,526,1624,2593,1203,181,3890,290
"357276",667629,921706,48664,229582,421852,898531,861794,78287,1244124,1128606,133792,216626
"821",232186,33195,8938,2662015,156903,323121,409247,395617,12615,466548,1587348,2648406
"376805",4079,2247,8565,4193,1705,3550,3388,908,1418,583,20921,2821
"823",91370,69859,18670,385690,60264,13130,60083,71928,81664,309534,95944,218506
"2025876",17692,8596,4362,4440,11282,3709,8409,6404,5149,11260,3740,3642
"712710",344,164,66,39,86,95,91,47,350,86,169,100
"28112",237,56,19,88,28,98,241,65,767,17,405,70
"214856",21641,2336,8828,127324,16056,594,7864,2524,15625,62548,4677,47875
"328814",366112,322,6103,3018,33370,307,53811,47663,91876,2919,392,7210
"626932",11215,233,176,414,338,498,429,252,1028,1925,448,1026
"2585118",68477,532,46769,3768,2941,663,4703,672,17893,1954,494,56856
"328813",18973,1200,317689,4439,81146,339,4866,7422,275485,1712,956,127824
"2585119",6037,271,981,1043,1137,276,1737,341,7972,318,932,1756
"2364787",4409,371,1552,147,2287,427,2840,245,3893,305,355,1510
"2662363",3342,118,492,173,270,547,359,59,1200,153,744,367
"1433126",97,71,12,400,51,105,92,9,300,75,151,39
"2093856",9809,4367,8835,13359,4422,1909,1869,2399,33742,17298,3748,14979
"28118",2941,1009,370,6792,15781,26604,4305,14007,3089,9009,5631,6598
"28132",190,73,124,331,66,102,183,345,125,4164,737,922
"589437",263,53,141,103,22,46,225,208,82,1798,299,2091
"28131",509,304,498,1065,333,453,1300,226,1044,816,1422,2276
"1177574",123,31,15,16,26,83,57,40,107,927,628,606
"589436",113,49,36,113,25,41,134,32,113,707,585,471
"839",178,114,91,86,46,116,135,110,157,121,981,44
"28135",155,23,18,39,49,87,144,104,150,43,465,123
"76123",134,56,20,121,28,92,118,22,248,39,206,136
"52227",335,70,109,247,93,79,136,79,181,32,396,115
"652716",40,42,36,118,26,24,82,16,50,21,252,315
"28129",276,49,40,104,50,86,148,74,134,3,526,68
"454155",2213,2334,623,2600,513,968,1588,3610,3747,1050,8284,1005
"2133944",144,31,25,98,32,122,111,65,111,19,540,85
"2530390",323,115,190,46,216,191,730,162,637,200,606,213
"1796646",425,70,165,141,45,243,474,103,212,294,391,100
"2518971",974,283,152,1700,127,795,815,152,596,263,696,280
"397865",5426,163,211,1367,598,240,1560,128,4189,549,1085,3043
"837",345,150,57,265,73,214,199,176,433,70,517,194
"36874",100,3,4,4,20,34,54,18,140,31,133,41
"393921",88,14,16,6,44,30,22,4,200,22,171,16
"28123",65,24,19,44,19,27,24,35,273,8,60,71
"2714926",70,45,11,49,35,32,113,26,112,53,209,35
"1642647",156,51,27,101,30,102,121,70,232,45,537,33
"1642646",199,33,77,50,193,257,132,37,203,16,589,126
"185300",129,33,41,108,46,97,136,109,195,35,483,39
"2590900",43,2,23,14,5,11,14,12,21,7,64,12
"1717717",34,52,31,6,35,62,90,31,63,20,106,33
"1168034",58,36,59,40,33,67,107,25,98,7,209,13
"2706887",67,27,32,6,27,29,25,24,72,4,174,25
"889453",41,47,44,25,18,42,68,33,59,10,124,43
"1307839",43,8,5,8,9,24,31,15,36,3,121,9
"2294119",27,7,6,76,13,17,57,33,21,30,32,1
"1179672",38,30,32,9,58,41,187,21,27,16,51,13
"2739062",21,9,8,69,13,31,19,20,18,12,38,13
"1979344",17,30,3,21,16,33,86,41,32,12,38,12
"2748319",12,27,10,1,22,25,19,32,50,13,33,0
"2614441",13,11,11,1,19,6,16,56,17,9,4,6
"2249356",31,23,9,2,21,48,67,12,25,5,59,16
"935222",12,7,4,15,3,11,65,8,15,5,12,7
"2478552",11,11,23,9,13,13,9,3,15,4,38,4
"2654325",21,2,8,37,1,6,4,9,14,1,18,0
"986",43,60,24,32,25,50,73,50,48,70,148,16
"1617283",14,7,6,0,8,17,21,30,15,53,63,11
"459526",25,63,37,17,22,32,92,45,48,19,116,18
"1678728",13,42,61,6,63,70,37,27,23,18,97,24
"2183896",13,25,27,24,10,23,102,24,37,19,23,30
"996",25,31,18,0,19,23,64,58,37,16,107,9
"2602769",11,16,6,3,2,36,69,28,25,11,43,4
"2547394",7,33,18,12,9,8,16,13,21,9,50,11
"1492737",28,30,72,21,8,29,45,19,32,9,61,23
"312277",5,8,1,3,3,8,6,4,8,6,38,3
"1763534",9,9,3,1,7,3,9,19,18,5,5,0
"1784713",26,3,4,1,2,9,11,2,19,4,33,5
"96345",8,19,7,1,5,15,10,15,22,4,6,4
"1306519",33,49,16,11,18,34,53,25,27,4,74,15
"683124",14,10,11,45,7,4,17,53,1,4,2,0
"2175091",53,11,7,23,7,15,17,10,28,3,25,9
"55197",11,12,9,1,1,28,32,13,13,2,13,21
"2172098",43,51,17,2,11,36,52,27,19,1,35,7
"1355330",14,30,10,2,8,3,24,11,8,1,24,2
"2686361",22,12,70,5,21,35,21,10,17,26,45,29
"1312072",13,24,11,1,6,9,30,7,20,13,23,8
"1336804",6,12,13,10,14,11,116,18,12,8,9,4
"2058137",9,5,9,2,7,13,67,16,10,7,73,10
"754397",12,6,23,2,7,31,37,9,8,6,7,6
"313598",17,10,8,4,4,5,21,6,13,3,19,3
"2738844",15,11,20,2,7,9,27,20,24,3,12,2
"1896175",10,2,5,6,4,7,4,2,10,7,2,0
"996801",5,6,1,1,9,15,8,10,12,8,28,1
"1774273",7,24,17,18,9,5,37,26,14,6,6,8
"1888915",8,18,8,5,2,8,36,8,10,2,4,12
"1316596",21,7,11,5,3,19,7,9,29,18,111,38
"1019",50,14,5,18,20,67,47,92,41,23,73,35
"1848904",23,38,9,35,2,9,79,23,25,15,129,78
"28189",19,32,8,1,25,30,28,11,45,19,76,1
"28188",26,31,11,2,15,31,76,22,36,12,55,5
"1017",24,12,3,2,4,15,25,8,28,4,41,9
"754417",4,13,21,2,15,12,39,12,13,8,16,5
"754409",12,18,17,2,5,12,12,40,34,6,23,9
"2686077",62,3,15,16,19,10,29,7,32,16,49,5
"1382466",14,6,4,0,12,6,4,8,8,16,15,7
"2697010",3,5,9,6,8,4,30,7,7,14,50,6
"2686078",16,21,7,0,4,20,1,14,25,5,26,4
