date,meter
2018-04-01,0.40
2018-04-02,0.40
2018-04-03,0.50
2018-04-04,0.50
2018-04-06,0.40
2018-04-07,0.40
2018-04-08,0.40
2018-04-09,0.40
2018-04-10,0.40
2018-04-11,0.40
2018-04-12,0.40
2018-04-13,0.40
2018-04-14,0.40
2018-04-15,0.40
2018-04-16,0.40
2018-04-17,0.40
2018-04-18,0.40
2018-04-19,0.40
2018-04-20,0.40
2018-04-21,0.40
2018-04-22,0.40
2018-04-23,0.40
2018-04-24,0.40
2018-04-25,0.30
2018-04-26,0.30
2018-04-27,0.30
2018-04-28,0.30
2018-04-29,0.30
2018-04-30,0.30
2018-05-01,0.30
2018-05-01,0.40
2018-05-02,0.40
2018-05-03,0.40
2018-05-04,0.40
2018-05-05,0.50
2018-05-06,0.40
2018-05-07,0.40
2018-05-08,0.40
2018-05-09,0.40
2018-05-10,0.50
2018-05-11,0.40
2018-05-12,0.40
2018-05-13,0.40
2018-05-14,0.40
2018-05-15,0.40
2018-05-16,0.40
2018-05-17,0.30
2018-05-18,0.40
2018-05-19,0.30
2018-05-20,0.30
2018-05-21,0.30
2018-05-23,0.30
2018-05-24,0.30
2018-05-25,0.30
2018-05-26,0.30
2018-05-27,0.20
2018-05-28,0.20
2018-05-29,0.30
2018-05-30,0.20
2018-05-31,0.20
2018-06-01,0.00
2018-06-04,0.00
2018-06-05,0.00
2018-06-06,0.00
2018-06-07,0.00
2018-06-08,0.00
2018-06-09,0.00
2018-06-10,0.00
2018-06-11,0.00
2018-06-12,0.00
