# Pathway	G45057_Abundance	G45068_Abundance	G45071_Abundance	G45075_Abundance	G45092_Abundance	G45099_Abundance	G45108_Abundance	G45117_Abundance	G45123_Abundance	G45226_Abundance	G45227_Abundance	G45250_Abundance
UNMAPPED	274411	344433	316335	311182	276292	372458	348189	297492	332259	327970	301885	313463
UNINTEGRATED	691263	620032	644843	651335	693449	593847	617613	668543	627761	632912	659192	647428
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	0	232.481	154.553	0	266.162	0	212.095	0	0	0	487.656	249.691
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	2455.38	0	953.581	0	19802.3	230.119	0	0	0	0	361.346
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	3907.57	0	0	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_indistinctus	0	570.342	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	9308.7	4760.05	21220.4	0	17082.8	0	0	703.579
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	0	12782.6	0	0	7278.52	3184.12	23169.3	0	0	3735.66	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_senegalensis	0	0	0	0	0	0	0	0	1516.05	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	0	19111.6	0	0	0	1510.9	5712.78	0	0	2245.37	0	1965.13
UNINTEGRATED|g__Alistipes.s__Alistipes_sp_HGB5	6436.9	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_caccae	0	0	0	0	675.104	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	0	1327.49	6051.18	5070.24	0	4218.32	2670.47	1180.81	0	6537.79	8096.44	3980.76
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_colihominis	0	1231.22	0	0	994.206	1397.8	1179.36	334.774	3261.66	514.768	1486.89	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	0	24426.4	13695.1	0	25245.6	0	3186.52	0	0	10700.9	14944.3	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	28899.2	0	0	0	0	22735.5	38182.6	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_clarus	0	0	0	0	0	0	0	0	0	4915.64	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_coprocola	0	0	0	0	0	0	0	0	0	3734.32	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	137488	61736.7	91175.3	12476.4	13213.5	32569.3	115748	0	0	64458.9	62105.9	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	0	0	23932.5	22933	0	0	11330.4	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	0	67929.6	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	56659.5	7915.13	17645.4	14672.9	36628.9	6872.97	8452.77	0	0	13734.4	0	28119.9
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	230793	46469.9	77429.4	33790.8	133273	14014.3	28618.1	14220.8	0	24086.2	32061	32206.6
UNINTEGRATED|g__Bacteroides.s__Bacteroides_plebeius	0	0	0	49046.5	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_salyersiae	0	0	0	0	0	0	12147.3	0	0	8736.34	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	0	18907	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	4196.95	0	468.33	7000.5	0	0	0	0	6183.84	2655.77	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	0	66728.7	23859.1	66648.3	0	44365.6	43191.9	147233	152752	18852.6	40328.4	72042
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	64650	25576.3	35770.2	121291	202806	13709.7	0	185273	0	31945.9	5107.82	30105.6
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	0	9322.77	0	7657.44	0	0	0	0	0	6350.7	0	0
UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis	0	9313.49	0	0	0	0	9456.5	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0	7230.11	0	9612.07	0	0	2581.48	0	0	14978.5	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_animalis	0	0	235.011	0	0	0	296.676	0	76.6142	0	112.573	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_bifidum	0	5169.56	0	6463.31	2834	9313.69	10673.6	1664.18	0	4765.73	0	2437.36
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_breve	0	0	0	0	953.296	0	0	230.894	0	2725.32	3620.5	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_catenulatum	0	0	0	9341.78	1698.21	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	0	7059.95	6205.49	14537.4	2139.49	20279.8	8648.44	4441.19	0	8990.55	21309.7	5337.75
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	0	507.283	0	0	2888.56	0	8443.71	761.395	0	1544.61	23420.4	4843.41
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	0	2662.18	0	0	0	0	5536.02	0	1456.61	0	0	0
UNINTEGRATED|g__Blautia.s__Blautia_producta	0	0	0	0	0	0	0	186.643	0	0	0	0
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	13585.5	1254.88	5801.07	2586.37	2264.01	4741.44	1040.18	3495.76	7551.06	8002.28	6183.29	3718.39
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	0	4057	0	2291.04	0	0	3544.18	0	6123.68	0	11580.7	12521.4
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	535.343	4267.86	7776.56	8666.21	3648.57	0	3942.52	0	6131.36	7794.33	3694.8	3654.7
