ID	G45057	G45068	G45071	G45075	G45092	G45099	G45108	G45117	G45123	G45226	G45227	G45250
k__Bacteria	99.98966	99.98245	100	94.73079	100	100	100	99.98405	97.91479	100	100	99.36286
k__Bacteria|p__Acidobacteria	0	0	0	0	0	0	0.00935	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0	0	0	0	0	0	0.00935	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0	0	0	0	0	0	0.00935	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0	0	0	0	0	0	0.00935	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	0	0	0	0	0	0	0.00935	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified	0	0	0	0	0	0	0.00935	0	0	0	0	0
k__Bacteria|p__Actinobacteria	0.45892	10.26792	2.82996	18.00192	5.69181	12.60294	13.80014	3.55549	0.17576	21.02093	23.28785	4.48273
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.45892	10.26792	2.82996	18.00192	5.69181	12.60294	13.80014	3.55549	0.17576	21.02093	23.28785	4.48273
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0	0	0	0.00244	0	0	0	0	0	0	0.00502	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0	0	0	0.00244	0	0	0	0	0	0	0.00502	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0	0	0	0.00244	0	0	0	0	0	0	0.00502	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0	0	0	0.00244	0	0	0	0	0	0	0.00502	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__Actinomyces_graevenitzii_unclassified	0	0	0	0.00244	0	0	0	0	0	0	0.00502	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.00797	9.52594	2.19697	17.82407	4.8279	12.16992	12.2497	3.374	0.03008	18.54666	20.085	4.03618
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.00797	9.52594	2.19697	17.82407	4.8279	12.16992	12.2497	3.374	0.03008	18.54666	20.085	4.03618
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.00797	9.52594	2.19697	17.82407	4.8279	12.16992	12.2497	3.374	0.03008	18.54666	20.085	4.03618
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0	4.62952	0	6.07559	0	0	1.25023	0	0	10.88703	0.00091	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__Bifidobacterium_adolescentis_unclassified	0	4.62952	0	6.07559	0	0	1.25023	0	0	10.88703	0.00091	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0	0	0.17868	0	0	0	0.1091	0	0.03008	0	0.05269	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__Bifidobacterium_animalis_unclassified	0	0	0.17868	0	0	0	0.1091	0	0.03008	0	0.05269	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0	2.64694	0	3.82376	1.83141	4.75295	5.46783	0.88165	0	2.86903	0.02823	1.00291
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum|t__Bifidobacterium_bifidum_unclassified	0	2.64694	0	3.82376	1.83141	4.75295	5.46783	0.88165	0	2.86903	0.02823	1.00291
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	0	0.00292	0	0	0.09465	0	0.00474	0.10827	0	0.71197	0.60741	0
